frequency_hz,vswr
1,751.4057054560079
1000001,1138.7709188550655
2000001,756.0674980359653
3000001,368.5277078995852
4000001,309.55751025068764
5000001,262.31562291222167
6000001,243.40183984590993
7000001,249.43867675544246
8000001,227.59256379006905
9000001,231.51537869044716
10000001,233.97646165404245
11000001,240.16887032461426
12000001,220.5643472367977
13000001,213.7159922488235
14000001,231.67260364102006
15000001,233.96710405801826
16000001,234.42482914835637
17000001,214.72547383750194
18000001,211.39199675990986
19000001,194.1452607546301
20000001,186.15942402168326
21000001,177.66435829128454
22000001,171.93745367913598
23000001,142.94002834015657
24000001,120.70061538363652
25000001,113.66246822159205
26000001,83.57179321040222
27000001,67.52761657616928
28000001,74.56080625595956
29000001,53.05391509292888
30000001,40.77171808714886
31000001,34.79772799077175
32000001,31.39317259077472
33000001,26.60341288107213
34000001,23.071830811944086
35000001,17.975506672094475
36000001,19.027055117794998
37000001,18.75354983381039
38000001,14.826780796382003
39000001,13.751651780020605
40000001,12.813968151786687
41000001,13.132216669704004
42000001,15.21970102717424
43000001,16.314211260265257
44000001,18.883357310754683
45000001,20.629483561212716
46000001,22.131917017864666
47000001,21.914661631248
48000001,20.785218160187473
49000001,19.01007997413991
50000001,15.994614866946504
51000001,14.065218494658259
52000001,13.049762874670835
53000001,12.125350288392767
54000001,11.192295504163173
55000001,11.576520764850201
56000001,11.301213730988794
57000001,9.284053849696779
58000001,9.324476834336005
59000001,8.963009742279166
60000001,8.283196904777666
61000001,8.013576892984183
62000001,8.220903502947326
63000001,10.201556233699675
64000001,10.402756727372116
65000001,11.161756973262914
66000001,13.174339939155445
67000001,13.697137929767425
68000001,14.585395661159318
69000001,14.674033388811372
70000001,17.192391956422945
71000001,17.99679833434217
72000001,16.907454671403823
73000001,17.39869094464789
74000001,17.0725875225004
75000001,16.900492827090353
76000001,16.398710122259345
77000001,15.988189327306578
78000001,15.878759026043785
79000001,15.99818104235791
80000001,16.635224084204285
81000001,16.51450517039219
82000001,16.243288784134506
83000001,15.3393484304951
84000001,15.038316477898874
85000001,15.617582026088744
86000001,15.455121732498073
87000001,15.345987879698795
88000001,14.974901297575869
89000001,14.35900578611774
90000001,14.143001721777892
91000001,13.822617453549638
92000001,13.710710472754947
93000001,13.54071439432949
94000001,13.250155951868395
95000001,12.623294238514134
96000001,11.541201838143175
97000001,10.762367424870188
98000001,9.738135056642603
99000001,8.829499398567165
100000001,6.53915117056782
101000001,5.946665103567327
102000001,5.556761001244798
103000001,5.591071434754918
104000001,5.638919731065258
105000001,5.466271792269491
106000001,5.226992100091562
107000001,5.083167156999531
108000001,5.011136579705833
109000001,4.692537269498799
110000001,4.407577386981279
111000001,4.502768095199935
112000001,4.612351499185638
113000001,4.5338465360972
114000001,4.408071817722339
115000001,4.2184046887336635
116000001,4.052074037639082
117000001,3.9408603172980317
118000001,3.9156035842829437
119000001,3.960155709818875
120000001,3.9341872395016173
121000001,3.874727450557258
122000001,3.873615482283153
123000001,3.850333566587879
124000001,3.8221906810450084
125000001,4.0248376115917255
